Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
waitTime = 10,,,,14-02-2024 17:57:45,14-02-2024 17:57:45,0.003s,PASSED
"if (waitForElementPresent(findTestObject(""Object Repository/login/uname pass incorrect""), waitTime, OPTIONAL))",,,,14-02-2024 17:57:45,14-02-2024 17:57:50,5.712s,PASSED
closeApplication(),,,,14-02-2024 17:57:50,14-02-2024 17:57:55,4.453s,PASSED
Video,,,,14-02-2024 17:57:57,14-02-2024 17:57:57,0.001s,PASSED
,,,,,,,
Test Cases/login data driven,,,,14-02-2024 17:57:57,14-02-2024 17:59:22,1m - 25.455s,PASSED
"startApplication(""C:\Users\ASUS\Downloads\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 17:57:57,14-02-2024 17:58:36,39.274s,PASSED
"tap(findTestObject(""Object Repository/login/android.widget.ImageView""), 0)",,,,14-02-2024 17:58:36,14-02-2024 17:58:42,6.059s,PASSED
"tap(findTestObject(""Object Repository/login/android.widget.TextView - LOGIN""), 0)",,,,14-02-2024 17:58:42,14-02-2024 17:58:44,2.138s,PASSED
"tap(findTestObject(""Object Repository/login/username tap""), 0)",,,,14-02-2024 17:58:44,14-02-2024 17:58:47,2.578s,PASSED
"setText(findTestObject(""Object Repository/login/input username""), username, 0)",,,,14-02-2024 17:58:47,14-02-2024 17:58:51,3.692s,PASSED
"tap(findTestObject(""Object Repository/login/password tap""), 0)",,,,14-02-2024 17:58:51,14-02-2024 17:58:52,1.443s,PASSED
"setText(findTestObject(""Object Repository/login/input password""), password, 0)",,,,14-02-2024 17:58:52,14-02-2024 17:58:56,3.788s,PASSED
"tap(findTestObject(""Object Repository/login/android.widget.Button - LOGIN""), 0)",,,,14-02-2024 17:58:56,14-02-2024 17:58:58,1.630s,PASSED
waitTime = 10,,,,14-02-2024 17:58:58,14-02-2024 17:58:58,0.004s,PASSED
"if (waitForElementPresent(findTestObject(""Object Repository/login/uname pass incorrect""), waitTime, OPTIONAL))",,,,14-02-2024 17:58:58,14-02-2024 17:59:08,10.130s,PASSED
else,,,,14-02-2024 17:59:08,14-02-2024 17:59:15,7.262s,PASSED
closeApplication(),,,,14-02-2024 17:59:15,14-02-2024 17:59:20,5.194s,PASSED
Video,,,,14-02-2024 17:59:22,14-02-2024 17:59:22,0.001s,PASSED
